unit: cm^{-1}, only max(dg)>1.000e-04 are saved; dg/dQ_alpha * Q_alpha 
mode:   11 freq=    5.6100 
 -8.3669900e-04   1.7023166e-03  -8.6920787e-04 
  1.7725211e-03  -8.4670913e-03   2.0847825e-03 
 -1.0347856e-03   2.0240587e-03  -2.8484606e-03 
mode:   12 freq=   26.3100 
 -5.3164251e-04   1.5951649e-03   1.6141240e-03 
  1.2522430e-03   1.7075170e-04  -2.8170565e-04 
  1.3658551e-03  -9.2330483e-05   1.7411507e-03 
mode:   13 freq=   29.6300 
  8.1683835e-04   1.3110585e-03   2.9045935e-04 
  1.3205575e-03   1.2684606e-03  -1.7764923e-04 
  2.0801203e-04  -1.8282034e-04   9.8287719e-04 
mode:   14 freq=   37.5700 
 -1.2959903e-03  -1.4919343e-04   1.0234257e-03 
 -3.6703393e-04  -2.6260514e-03   4.4330445e-04 
  9.7147192e-04   3.8625853e-04  -1.0640031e-04 
mode:   15 freq=   45.2600 
  1.8468943e-04   3.5646447e-04   3.6524173e-04 
  6.2496373e-04   1.3744408e-03  -4.1804047e-04 
  2.9741628e-04  -6.7888419e-04   1.4514644e-03 
mode:   16 freq=   51.2000 
  5.7410831e-04   6.1949320e-04  -2.4991826e-04 
  6.7290578e-04   8.9848219e-04   3.0564408e-04 
 -1.5942605e-04   5.4442626e-04  -3.6227151e-04 
mode:   17 freq=   55.9100 
  3.0960800e-04  -6.3835803e-04  -1.1564227e-03 
 -8.8108759e-04  -1.4260195e-03   3.8436859e-04 
 -1.0433518e-03   5.5499454e-04  -1.6282105e-03 
mode:   18 freq=   73.7000 
  3.2120076e-04  -5.4205833e-04  -8.9073718e-04 
 -4.6554313e-04   6.0763510e-05  -4.5342475e-05 
 -7.8690371e-04   1.3461773e-04  -7.0305196e-04 
mode:   19 freq=   77.9000 
 -2.2918793e-04  -2.2842342e-04   2.7966661e-04 
 -4.0140235e-05  -7.0011083e-04  -2.0523827e-04 
  3.4681805e-04  -1.9696750e-04   7.9452386e-04 
mode:   20 freq=   83.8600 
 -2.5461769e-04  -6.7650019e-04  -4.5019868e-05 
 -6.2703417e-04   4.2343025e-04  -5.3031160e-04 
 -1.9422290e-05  -4.3860488e-04   8.1552584e-05 
mode:   21 freq=   88.6300 
  2.8192199e-04  -4.6406246e-04  -6.3478371e-04 
 -5.0880162e-04   3.0908017e-04  -4.4017197e-05 
 -7.3497015e-04   5.6720566e-05  -5.2065651e-04 
mode:   22 freq=   90.3400 
 -4.0320875e-04  -7.3711466e-04  -4.3977128e-04 
 -5.0567498e-04  -2.6925594e-04  -3.0659250e-04 
 -5.7898590e-04  -1.4837144e-04  -7.8839241e-04 
mode:   23 freq=  100.0900 
  1.2211942e-04  -3.8827656e-04   3.8890059e-04 
 -4.4112200e-04   1.5936331e-03  -8.5083796e-04 
  4.8563965e-04  -8.1468899e-04   1.2271718e-03 
mode:   24 freq=  107.0200 
  9.3431179e-05   8.9430142e-04   7.9669957e-04 
  7.8780877e-04   9.0888566e-04   9.6845005e-05 
  7.4780878e-04   1.8878715e-04   5.5636310e-04 
